Number,Code,Sample,CLDR Short Name,Keywords
1,U+1F600,,grinning face,face | grin | grinning face
2,U+1F603,,grinning face with big eyes,face | grinning face with big eyes | mouth | open | smile
3,U+1F604,,grinning face with smiling eyes,eye | face | grinning face with smiling eyes | mouth | open | smile
4,U+1F601,,beaming face with smiling eyes,beaming face with smiling eyes | eye | face | grin | smile
5,U+1F606,,grinning squinting face,face | grinning squinting face | laugh | mouth | satisfied | smile
6,U+1F605,,grinning face with sweat,cold | face | grinning face with sweat | open | smile | sweat
7,U+1F923,,rolling on the floor laughing,face | floor | laugh | rolling | rolling on the floor laughing
8,U+1F602,,face with tears of joy,face | face with tears of joy | joy | laugh | tear
9,U+1F642,,slightly smiling face,face | slightly smiling face | smile
10,U+1F643,,upside-down face,face | upside-down
11,U+1F609,,winking face,face | wink | winking face
12,U+1F60A,,smiling face with smiling eyes,blush | eye | face | smile | smiling face with smiling eyes
13,U+1F607,,smiling face with halo,angel | face | fantasy | halo | innocent | smiling face with halo
14,U+1F970,,smiling face with hearts,adore | crush | hearts | in love | smiling face with hearts
15,U+1F60D,,smiling face with heart-eyes,eye | face | love | smile | smiling face with heart-eyes
16,U+1F929,,star-struck,eyes | face | grinning | star | star-struck | starry-eyed
17,U+1F618,,face blowing a kiss,face | face blowing a kiss | kiss
18,U+1F617,,kissing face,face | kiss | kissing face
19,U+263A,,smiling face,face | outlined | relaxed | smile | smiling face
20,U+1F61A,,kissing face with closed eyes,closed | eye | face | kiss | kissing face with closed eyes
21,U+1F619,,kissing face with smiling eyes,eye | face | kiss | kissing face with smiling eyes | smile
22,U+1F60B,,face savoring food,delicious | face | face savoring food | savouring | smile | yum
23,U+1F61B,,face with tongue,face | face with tongue | tongue
24,U+1F61C,,winking face with tongue,eye | face | joke | tongue | wink | winking face with tongue
25,U+1F92A,,zany face,eye | goofy | large | small | zany face
26,U+1F61D,,squinting face with tongue,eye | face | horrible | squinting face with tongue | taste | tongue
27,U+1F911,,money-mouth face,face | money | money-mouth face | mouth
28,U+1F917,,hugging face,face | hug | hugging
29,U+1F92D,,face with hand over mouth,face with hand over mouth | whoops | shock | sudden realization | surprise
30,U+1F92B,,shushing face,quiet | shush | shushing face
31,U+1F914,,thinking face,face | thinking
32,U+1F910,,zipper-mouth face,face | mouth | zipper | zipper-mouth face
33,U+1F928,,face with raised eyebrow,distrust | face with raised eyebrow | skeptic | disapproval | disbelief | mild surprise | scepticism
34,U+1F610,,neutral face,deadpan | face | meh | neutral
35,U+1F611,,expressionless face,expressionless | face | inexpressive | meh | unexpressive
36,U+1F636,,face without mouth,face | face without mouth | mouth | quiet | silent
37,U+1F60F,,smirking face,face | smirk | smirking face
38,U+1F612,,unamused face,face | unamused | unhappy
39,U+1F644,,face with rolling eyes,eyeroll | eyes | face | face with rolling eyes | rolling
40,U+1F62C,,grimacing face,face | grimace | grimacing face
41,U+1F925,,lying face,face | lie | lying face | pinocchio
42,U+1F60C,,relieved face,face | relieved
43,U+1F614,,pensive face,dejected | face | pensive
44,U+1F62A,,sleepy face,face | sleep | sleepy face
45,U+1F924,,drooling face,drooling | face
46,U+1F634,,sleeping face,face | sleep | sleeping face | zzz
47,U+1F637,,face with medical mask,cold | doctor | face | face with medical mask | mask | sick
48,U+1F912,,face with thermometer,face | face with thermometer | ill | sick | thermometer
49,U+1F915,,face with head-bandage,bandage | face | face with head-bandage | hurt | injury
50,U+1F922,,nauseated face,face | nauseated | vomit
51,U+1F92E,,face vomiting,face vomiting | sick | vomit
52,U+1F927,,sneezing face,face | gesundheit | sneeze | sneezing face
53,U+1F975,,hot face,feverish | heat stroke | hot | hot face | red-faced | sweating
54,U+1F976,,cold face,blue-faced | cold | cold face | freezing | frostbite | icicles
55,U+1F974,,woozy face,dizzy | intoxicated | tipsy | uneven eyes | wavy mouth | woozy face
56,U+1F635,,dizzy face,dizzy | face
57,U+1F92F,,exploding head,exploding head | mind blown | shocked
58,U+1F920,,cowboy hat face,cowboy | cowgirl | face | hat
59,U+1F973,,partying face,celebration | hat | horn | party | partying face
60,U+1F60E,,smiling face with sunglasses,bright | cool | face | smiling face with sunglasses | sun | sunglasses
61,U+1F913,,nerd face,face | geek | nerd
62,U+1F9D0,,face with monocle,face with monocle | stuffy | wealthy
63,U+1F615,,confused face,confused | face | meh
64,U+1F61F,,worried face,face | worried
65,U+1F641,,slightly frowning face,face | frown | slightly frowning face
66,U+2639,,frowning face,face | frown | frowning face
67,U+1F62E,,face with open mouth,face | face with open mouth | mouth | open | sympathy
68,U+1F62F,,hushed face,face | hushed | stunned | surprised
69,U+1F632,,astonished face,astonished | face | shocked | totally
70,U+1F633,,flushed face,dazed | face | flushed
71,U+1F97A,,pleading face,begging | mercy | pleading face | puppy eyes
72,U+1F626,,frowning face with open mouth,face | frown | frowning face with open mouth | mouth | open
73,U+1F627,,anguished face,anguished | face
74,U+1F628,,fearful face,face | fear | fearful | scared
75,U+1F630,,anxious face with sweat,anxious face with sweat | blue | cold | face | rushed | sweat
76,U+1F625,,sad but relieved face,disappointed | face | relieved | sad but relieved face | whew
77,U+1F622,,crying face,cry | crying face | face | sad | tear
78,U+1F62D,,loudly crying face,cry | face | loudly crying face | sad | sob | tear
79,U+1F631,,face screaming in fear,face | face screaming in fear | fear | munch | scared | scream
80,U+1F616,,confounded face,confounded | face
81,U+1F623,,persevering face,face | persevere | persevering face
82,U+1F61E,,disappointed face,disappointed | face
83,U+1F613,,downcast face with sweat,cold | downcast face with sweat | face | sweat
84,U+1F629,,weary face,face | tired | weary
85,U+1F62B,,tired face,face | tired
86,U+1F971,,⊛ yawning face,bored | tired | yawn | yawning face
87,U+1F624,,face with steam from nose,face | face with steam from nose | triumph | won
88,U+1F621,,pouting face,angry | face | mad | pouting | rage | red
89,U+1F620,,angry face,angry | face | mad
90,U+1F92C,,face with symbols on mouth,face with symbols on mouth | swearing | cursing
91,U+1F608,,smiling face with horns,face | fairy tale | fantasy | horns | smile | smiling face with horns
92,U+1F47F,,angry face with horns,angry face with horns | demon | devil | face | fantasy | imp
93,U+1F480,,skull,death | face | fairy tale | monster | skull
94,U+2620,,skull and crossbones,crossbones | death | face | monster | skull | skull and crossbones
95,U+1F4A9,,pile of poo,dung | face | monster | pile of poo | poo | poop
96,U+1F921,,clown face,clown | face
97,U+1F479,,ogre,creature | face | fairy tale | fantasy | monster | ogre | troll
98,U+1F47A,,goblin,creature | face | fairy tale | fantasy | goblin | monster
99,U+1F47B,,ghost,creature | face | fairy tale | fantasy | ghost | monster
100,U+1F47D,,alien,alien | creature | extraterrestrial | face | fantasy | ufo
101,U+1F47E,,alien monster,alien | creature | extraterrestrial | face | monster | ufo
102,U+1F916,,robot,face | monster | robot
103,U+1F63A,,grinning cat,cat | face | grinning | mouth | open | smile
104,U+1F638,,grinning cat with smiling eyes,cat | eye | face | grin | grinning cat with smiling eyes | smile
105,U+1F639,,cat with tears of joy,cat | cat with tears of joy | face | joy | tear
106,U+1F63B,,smiling cat with heart-eyes,cat | eye | face | heart | love | smile | smiling cat with heart-eyes
107,U+1F63C,,cat with wry smile,cat | cat with wry smile | face | ironic | smile | wry
108,U+1F63D,,kissing cat,cat | eye | face | kiss | kissing cat
109,U+1F640,,weary cat,cat | face | oh | surprised | weary
110,U+1F63F,,crying cat,cat | cry | crying cat | face | sad | tear
111,U+1F63E,,pouting cat,cat | face | pouting
112,U+1F648,,see-no-evil monkey,evil | face | forbidden | monkey | see | see-no-evil monkey
113,U+1F649,,hear-no-evil monkey,evil | face | forbidden | hear | hear-no-evil monkey | monkey
114,U+1F64A,,speak-no-evil monkey,evil | face | forbidden | monkey | speak | speak-no-evil monkey
115,U+1F48B,,kiss mark,kiss | kiss mark | lips
116,U+1F48C,,love letter,heart | letter | love | mail
117,U+1F498,,heart with arrow,arrow | cupid | heart with arrow
118,U+1F49D,,heart with ribbon,heart with ribbon | ribbon | valentine
119,U+1F496,,sparkling heart,excited | sparkle | sparkling heart
120,U+1F497,,growing heart,excited | growing | growing heart | nervous | pulse
121,U+1F493,,beating heart,beating | beating heart | heartbeat | pulsating
122,U+1F49E,,revolving hearts,revolving | revolving hearts
123,U+1F495,,two hearts,love | two hearts
124,U+1F49F,,heart decoration,heart | heart decoration
125,U+2763,,heart exclamation,exclamation | heart exclamation | mark | punctuation
126,U+1F494,,broken heart,break | broken | broken heart
127,U+2764,,red heart,heart | red heart
128,U+1F9E1,,orange heart,orange | orange heart
129,U+1F49B,,yellow heart,yellow | yellow heart
130,U+1F49A,,green heart,green | green heart
131,U+1F499,,blue heart,blue | blue heart
132,U+1F49C,,purple heart,purple | purple heart
133,U+1F90E,,⊛ brown heart,brown | heart
134,U+1F5A4,,black heart,black | black heart | evil | wicked
135,U+1F90D,,⊛ white heart,heart | white
136,U+1F4AF,,hundred points,100 | full | hundred | hundred points | score
137,U+1F4A2,,anger symbol,anger symbol | angry | comic | mad
138,U+1F4A5,,collision,boom | collision | comic
139,U+1F4AB,,dizzy,comic | dizzy | star
140,U+1F4A6,,sweat droplets,comic | splashing | sweat | sweat droplets
141,U+1F4A8,,dashing away,comic | dash | dashing away | running
142,U+1F573,,hole,hole
143,U+1F4A3,,bomb,bomb | comic
144,U+1F4AC,,speech balloon,balloon | bubble | comic | dialog | speech
145,U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F,,eye in speech bubble,eye | eye in speech bubble | speech bubble | witness
146,U+1F5E8,,left speech bubble,dialog | left speech bubble | speech
147,U+1F5EF,,right anger bubble,angry | balloon | bubble | mad | right anger bubble
148,U+1F4AD,,thought balloon,balloon | bubble | comic | thought
149,U+1F4A4,,zzz,comic | sleep | zzz
150,U+1F44B,,waving hand,hand | wave | waving
151,U+1F91A,,raised back of hand,backhand | raised | raised back of hand
152,U+1F590,,hand with fingers splayed,finger | hand | hand with fingers splayed | splayed
153,U+270B,,raised hand,hand | raised hand
154,U+1F596,,vulcan salute,finger | hand | spock | vulcan | vulcan salute
155,U+1F44C,,OK hand,hand | OK
156,U+1F90F,,⊛ pinching hand,pinching hand | small amount
157,U+270C,,victory hand,hand | v | victory
158,U+1F91E,,crossed fingers,cross | crossed fingers | finger | hand | luck
159,U+1F91F,,love-you gesture,hand | ILY | love-you gesture
160,U+1F918,,sign of the horns,finger | hand | horns | rock-on | sign of the horns
161,U+1F919,,call me hand,call | call me hand | hand
162,U+1F448,,backhand index pointing left,backhand | backhand index pointing left | finger | hand | index | point
163,U+1F449,,backhand index pointing right,backhand | backhand index pointing right | finger | hand | index | point
164,U+1F446,,backhand index pointing up,backhand | backhand index pointing up | finger | hand | point | up
165,U+1F595,,middle finger,finger | hand | middle finger
166,U+1F447,,backhand index pointing down,backhand | backhand index pointing down | down | finger | hand | point
167,U+261D,,index pointing up,finger | hand | index | index pointing up | point | up
168,U+1F44D,,thumbs up,+1 | hand | thumb | thumbs up | up
169,U+1F44E,,thumbs down,-1 | down | hand | thumb | thumbs down
170,U+270A,,raised fist,clenched | fist | hand | punch | raised fist
171,U+1F44A,,oncoming fist,clenched | fist | hand | oncoming fist | punch
172,U+1F91B,,left-facing fist,fist | left-facing fist | leftwards
173,U+1F91C,,right-facing fist,fist | right-facing fist | rightwards
174,U+1F44F,,clapping hands,clap | clapping hands | hand
175,U+1F64C,,raising hands,celebration | gesture | hand | hooray | raised | raising hands
176,U+1F450,,open hands,hand | open | open hands
177,U+1F932,,palms up together,palms up together | prayer | cupped hands
178,U+1F91D,,handshake,agreement | hand | handshake | meeting | shake
179,U+1F64F,,folded hands,ask | folded hands | hand | please | pray | thanks
180,U+270D,,writing hand,hand | write | writing hand
181,U+1F485,,nail polish,care | cosmetics | manicure | nail | polish
182,U+1F933,,selfie,camera | phone | selfie
183,U+1F4AA,,flexed biceps,biceps | comic | flex | flexed biceps | muscle
184,U+1F9BE,,⊛ mechanical arm,accessibility | mechanical arm | prosthetic
185,U+1F9BF,,⊛ mechanical leg,accessibility | mechanical leg | prosthetic
186,U+1F9B5,,leg,kick | leg | limb
187,U+1F9B6,,foot,foot | kick | stomp
188,U+1F442,,ear,body | ear
189,U+1F9BB,,⊛ ear with hearing aid,accessibility | ear with hearing aid | hard of hearing
190,U+1F443,,nose,body | nose
191,U+1F9E0,,brain,brain | intelligent
192,U+1F9B7,,tooth,dentist | tooth
193,U+1F9B4,,bone,bone | skeleton
194,U+1F440,,eyes,eye | eyes | face
195,U+1F441,,eye,body | eye
196,U+1F445,,tongue,body | tongue
197,U+1F444,,mouth,lips | mouth
198,U+1F476,,baby,baby | young
199,U+1F9D2,,child,child | gender-neutral | unspecified gender | young
200,U+1F466,,boy,boy | young
201,U+1F467,,girl,girl | Virgo | young | zodiac
202,U+1F9D1,,person,adult | gender-neutral | person | unspecified gender
203,U+1F471,,person: blond hair,blond | blond-haired person | hair | person: blond hair
204,U+1F468,,man,adult | man
205,U+1F9D4,,man: beard,beard | man | man: beard | person | bewhiskered
206,U+1F471 U+200D U+2642 U+FE0F,,man: blond hair,blond | blond-haired man | hair | man | man: blond hair
207,U+1F468 U+200D U+1F9B0,,man: red hair,adult | man | red hair
208,U+1F468 U+200D U+1F9B1,,man: curly hair,adult | curly hair | man
209,U+1F468 U+200D U+1F9B3,,man: white hair,adult | man | white hair
210,U+1F468 U+200D U+1F9B2,,man: bald,adult | bald | man
211,U+1F469,,woman,adult | woman
212,U+1F471 U+200D U+2640 U+FE0F,,woman: blond hair,blond-haired woman | blonde | hair | woman | woman: blond hair
213,U+1F469 U+200D U+1F9B0,,woman: red hair,adult | red hair | woman
214,U+1F469 U+200D U+1F9B1,,woman: curly hair,adult | curly hair | woman
215,U+1F469 U+200D U+1F9B3,,woman: white hair,adult | white hair | woman
216,U+1F469 U+200D U+1F9B2,,woman: bald,adult | bald | woman
217,U+1F9D3,,older person,adult | gender-neutral | old | older person | unspecified gender
218,U+1F474,,old man,adult | man | old
219,U+1F475,,old woman,adult | old | woman
220,U+1F64D,,person frowning,frown | gesture | person frowning
221,U+1F64D U+200D U+2642 U+FE0F,,man frowning,frowning | gesture | man
222,U+1F64D U+200D U+2640 U+FE0F,,woman frowning,frowning | gesture | woman
223,U+1F64E,,person pouting,gesture | person pouting | pouting
224,U+1F64E U+200D U+2642 U+FE0F,,man pouting,gesture | man | pouting
225,U+1F64E U+200D U+2640 U+FE0F,,woman pouting,gesture | pouting | woman
226,U+1F645,,person gesturing NO,forbidden | gesture | hand | person gesturing NO | prohibited
227,U+1F645 U+200D U+2642 U+FE0F,,man gesturing NO,forbidden | gesture | hand | man | man gesturing NO | prohibited
228,U+1F645 U+200D U+2640 U+FE0F,,woman gesturing NO,forbidden | gesture | hand | prohibited | woman | woman gesturing NO
229,U+1F646,,person gesturing OK,gesture | hand | OK | person gesturing OK
230,U+1F646 U+200D U+2642 U+FE0F,,man gesturing OK,gesture | hand | man | man gesturing OK | OK
231,U+1F646 U+200D U+2640 U+FE0F,,woman gesturing OK,gesture | hand | OK | woman | woman gesturing OK
232,U+1F481,,person tipping hand,hand | help | information | person tipping hand | sassy | tipping
233,U+1F481 U+200D U+2642 U+FE0F,,man tipping hand,man | man tipping hand | sassy | tipping hand
234,U+1F481 U+200D U+2640 U+FE0F,,woman tipping hand,sassy | tipping hand | woman | woman tipping hand
235,U+1F64B,,person raising hand,gesture | hand | happy | person raising hand | raised
236,U+1F64B U+200D U+2642 U+FE0F,,man raising hand,gesture | man | man raising hand | raising hand
237,U+1F64B U+200D U+2640 U+FE0F,,woman raising hand,gesture | raising hand | woman | woman raising hand
238,U+1F9CF,,⊛ deaf person,accessibility | deaf | deaf person | ear | hear
239,U+1F9CF U+200D U+2642 U+FE0F,,⊛ deaf man,deaf | man
240,U+1F9CF U+200D U+2640 U+FE0F,,⊛ deaf woman,deaf | woman
241,U+1F647,,person bowing,apology | bow | gesture | person bowing | sorry
242,U+1F647 U+200D U+2642 U+FE0F,,man bowing,apology | bowing | favor | gesture | man | sorry
243,U+1F647 U+200D U+2640 U+FE0F,,woman bowing,apology | bowing | favor | gesture | sorry | woman
244,U+1F926,,person facepalming,disbelief | exasperation | face | palm | person facepalming
245,U+1F926 U+200D U+2642 U+FE0F,,man facepalming,disbelief | exasperation | facepalm | man | man facepalming
246,U+1F926 U+200D U+2640 U+FE0F,,woman facepalming,disbelief | exasperation | facepalm | woman | woman facepalming
247,U+1F937,,person shrugging,doubt | ignorance | indifference | person shrugging | shrug
248,U+1F937 U+200D U+2642 U+FE0F,,man shrugging,doubt | ignorance | indifference | man | man shrugging | shrug
249,U+1F937 U+200D U+2640 U+FE0F,,woman shrugging,doubt | ignorance | indifference | shrug | woman | woman shrugging
250,U+1F468 U+200D U+2695 U+FE0F,,man health worker,doctor | healthcare | man | man health worker | nurse | therapist
251,U+1F469 U+200D U+2695 U+FE0F,,woman health worker,doctor | healthcare | nurse | therapist | woman | woman health worker
252,U+1F468 U+200D U+1F393,,man student,graduate | man | student
253,U+1F469 U+200D U+1F393,,woman student,graduate | student | woman
254,U+1F468 U+200D U+1F3EB,,man teacher,instructor | man | professor | teacher
255,U+1F469 U+200D U+1F3EB,,woman teacher,instructor | professor | teacher | woman
256,U+1F468 U+200D U+2696 U+FE0F,,man judge,justice | man | man judge | scales
257,U+1F469 U+200D U+2696 U+FE0F,,woman judge,judge | scales | woman
258,U+1F468 U+200D U+1F33E,,man farmer,farmer | gardener | man | rancher
259,U+1F469 U+200D U+1F33E,,woman farmer,farmer | gardener | rancher | woman
260,U+1F468 U+200D U+1F373,,man cook,chef | cook | man
261,U+1F469 U+200D U+1F373,,woman cook,chef | cook | woman
262,U+1F468 U+200D U+1F527,,man mechanic,electrician | man | mechanic | plumber | tradesperson
263,U+1F469 U+200D U+1F527,,woman mechanic,electrician | mechanic | plumber | tradesperson | woman
264,U+1F468 U+200D U+1F3ED,,man factory worker,assembly | factory | industrial | man | worker
265,U+1F469 U+200D U+1F3ED,,woman factory worker,assembly | factory | industrial | woman | worker
266,U+1F468 U+200D U+1F4BC,,man office worker,architect | business | man | man office worker | manager | white-collar
267,U+1F469 U+200D U+1F4BC,,woman office worker,architect | business | manager | white-collar | woman | woman office worker
268,U+1F468 U+200D U+1F52C,,man scientist,biologist | chemist | engineer | man | physicist | scientist
269,U+1F469 U+200D U+1F52C,,woman scientist,biologist | chemist | engineer | physicist | scientist | woman
270,U+1F468 U+200D U+1F4BB,,man technologist,coder | developer | inventor | man | software | technologist
271,U+1F469 U+200D U+1F4BB,,woman technologist,coder | developer | inventor | software | technologist | woman
272,U+1F468 U+200D U+1F3A4,,man singer,actor | entertainer | man | rock | singer | star
273,U+1F469 U+200D U+1F3A4,,woman singer,actor | entertainer | rock | singer | star | woman
274,U+1F468 U+200D U+1F3A8,,man artist,artist | man | palette
275,U+1F469 U+200D U+1F3A8,,woman artist,artist | palette | woman
276,U+1F468 U+200D U+2708 U+FE0F,,man pilot,man | pilot | plane
277,U+1F469 U+200D U+2708 U+FE0F,,woman pilot,pilot | plane | woman
278,U+1F468 U+200D U+1F680,,man astronaut,astronaut | man | rocket
279,U+1F469 U+200D U+1F680,,woman astronaut,astronaut | rocket | woman
280,U+1F468 U+200D U+1F692,,man firefighter,firefighter | firetruck | man
281,U+1F469 U+200D U+1F692,,woman firefighter,firefighter | firetruck | woman
282,U+1F46E,,police officer,cop | officer | police
283,U+1F46E U+200D U+2642 U+FE0F,,man police officer,cop | man | officer | police
284,U+1F46E U+200D U+2640 U+FE0F,,woman police officer,cop | officer | police | woman
285,U+1F575,,detective,detective | sleuth | spy
286,U+1F575 U+FE0F U+200D U+2642 U+FE0F,,man detective,detective | man | sleuth | spy
287,U+1F575 U+FE0F U+200D U+2640 U+FE0F,,woman detective,detective | sleuth | spy | woman
288,U+1F482,,guard,guard
289,U+1F482 U+200D U+2642 U+FE0F,,man guard,guard | man
290,U+1F482 U+200D U+2640 U+FE0F,,woman guard,guard | woman
291,U+1F477,,construction worker,construction | hat | worker
292,U+1F477 U+200D U+2642 U+FE0F,,man construction worker,construction | man | worker
293,U+1F477 U+200D U+2640 U+FE0F,,woman construction worker,construction | woman | worker
294,U+1F934,,prince,prince
295,U+1F478,,princess,fairy tale | fantasy | princess
296,U+1F473,,person wearing turban,person wearing turban | turban
297,U+1F473 U+200D U+2642 U+FE0F,,man wearing turban,man | man wearing turban | turban
298,U+1F473 U+200D U+2640 U+FE0F,,woman wearing turban,turban | woman | woman wearing turban
299,U+1F472,,man with Chinese cap,gua pi mao | hat | man | man with Chinese cap
300,U+1F9D5,,woman with headscarf,headscarf | hijab | mantilla | tichel | woman with headscarf | bandana | head kerchief
301,U+1F935,,man in tuxedo,groom | man | man in tuxedo | tuxedo
302,U+1F470,,bride with veil,bride | bride with veil | veil | wedding
303,U+1F930,,pregnant woman,pregnant | woman
304,U+1F931,,breast-feeding,baby | breast | breast-feeding | nursing
305,U+1F47C,,baby angel,angel | baby | face | fairy tale | fantasy
306,U+1F385,,Santa Claus,celebration | Christmas | claus | father | santa | Santa Claus
307,U+1F936,,Mrs. Claus,celebration | Christmas | claus | mother | Mrs. | Mrs. Claus
308,U+1F9B8,,superhero,good | hero | heroine | superhero | superpower | superpowers
309,U+1F9B8 U+200D U+2642 U+FE0F,,man superhero,good | hero | man | man superhero | superpower
310,U+1F9B8 U+200D U+2640 U+FE0F,,woman superhero,good | hero | heroine | superpower | woman | woman superhero
311,U+1F9B9,,supervillain,criminal | evil | superpower | supervillain | villain | bad | superpowers
312,U+1F9B9 U+200D U+2642 U+FE0F,,man supervillain,criminal | evil | man | man supervillain | superpower | villain
313,U+1F9B9 U+200D U+2640 U+FE0F,,woman supervillain,criminal | evil | superpower | villain | woman | woman supervillain
314,U+1F9D9,,mage,mage | sorcerer | sorceress | witch | wizard
315,U+1F9D9 U+200D U+2642 U+FE0F,,man mage,man mage | sorcerer | wizard
316,U+1F9D9 U+200D U+2640 U+FE0F,,woman mage,sorceress | witch | woman mage
317,U+1F9DA,,fairy,fairy | Oberon | Puck | Titania
318,U+1F9DA U+200D U+2642 U+FE0F,,man fairy,man fairy | Oberon | Puck
319,U+1F9DA U+200D U+2640 U+FE0F,,woman fairy,Titania | woman fairy
320,U+1F9DB,,vampire,Dracula | undead | vampire
321,U+1F9DB U+200D U+2642 U+FE0F,,man vampire,Dracula | man vampire | undead
322,U+1F9DB U+200D U+2640 U+FE0F,,woman vampire,undead | woman vampire
323,U+1F9DC,,merperson,mermaid | merman | merperson | merwoman
324,U+1F9DC U+200D U+2642 U+FE0F,,merman,merman | Triton
325,U+1F9DC U+200D U+2640 U+FE0F,,mermaid,mermaid | merwoman
326,U+1F9DD,,elf,elf | magical | LOTR style
327,U+1F9DD U+200D U+2642 U+FE0F,,man elf,magical | man elf
328,U+1F9DD U+200D U+2640 U+FE0F,,woman elf,magical | woman elf
329,U+1F9DE,,genie,djinn | genie | (non-human color)
330,U+1F9DE U+200D U+2642 U+FE0F,,man genie,djinn | man genie
331,U+1F9DE U+200D U+2640 U+FE0F,,woman genie,djinn | woman genie
332,U+1F9DF,,zombie,undead | walking dead | zombie | (non-human color)
333,U+1F9DF U+200D U+2642 U+FE0F,,man zombie,man zombie | undead | walking dead
334,U+1F9DF U+200D U+2640 U+FE0F,,woman zombie,undead | walking dead | woman zombie
335,U+1F486,,person getting massage,face | massage | person getting massage | salon
336,U+1F486 U+200D U+2642 U+FE0F,,man getting massage,face | man | man getting massage | massage
337,U+1F486 U+200D U+2640 U+FE0F,,woman getting massage,face | massage | woman | woman getting massage
338,U+1F487,,person getting haircut,barber | beauty | haircut | parlor | person getting haircut
339,U+1F487 U+200D U+2642 U+FE0F,,man getting haircut,haircut | man | man getting haircut
340,U+1F487 U+200D U+2640 U+FE0F,,woman getting haircut,haircut | woman | woman getting haircut
341,U+1F6B6,,person walking,hike | person walking | walk | walking
342,U+1F6B6 U+200D U+2642 U+FE0F,,man walking,hike | man | man walking | walk
343,U+1F6B6 U+200D U+2640 U+FE0F,,woman walking,hike | walk | woman | woman walking
344,U+1F9CD,,⊛ person standing,person standing | stand | standing
345,U+1F9CD U+200D U+2642 U+FE0F,,⊛ man standing,man | standing
346,U+1F9CD U+200D U+2640 U+FE0F,,⊛ woman standing,standing | woman
347,U+1F9CE,,⊛ person kneeling,kneel | kneeling | person kneeling
348,U+1F9CE U+200D U+2642 U+FE0F,,⊛ man kneeling,kneeling | man
349,U+1F9CE U+200D U+2640 U+FE0F,,⊛ woman kneeling,kneeling | woman
350,U+1F468 U+200D U+1F9AF,,⊛ man with probing cane,accessibility | blind | man | man with probing cane
351,U+1F469 U+200D U+1F9AF,,⊛ woman with probing cane,accessibility | blind | woman | woman with probing cane
352,U+1F468 U+200D U+1F9BC,,⊛ man in motorized wheelchair,accessibility | man | man in motorized wheelchair | wheelchair
353,U+1F469 U+200D U+1F9BC,,⊛ woman in motorized wheelchair,accessibility | wheelchair | woman | woman in motorized wheelchair
354,U+1F468 U+200D U+1F9BD,,⊛ man in manual wheelchair,accessibility | man | man in manual wheelchair | wheelchair
355,U+1F469 U+200D U+1F9BD,,⊛ woman in manual wheelchair,accessibility | wheelchair | woman | woman in manual wheelchair
356,U+1F3C3,,person running,marathon | person running | running
357,U+1F3C3 U+200D U+2642 U+FE0F,,man running,man | marathon | racing | running
358,U+1F3C3 U+200D U+2640 U+FE0F,,woman running,marathon | racing | running | woman
359,U+1F483,,woman dancing,dancing | woman
360,U+1F57A,,man dancing,dance | man | man dancing
361,U+1F574,,man in suit levitating,business | man | man in suit levitating | suit
362,U+1F46F,,people with bunny ears,bunny ear | dancer | partying | people with bunny ears
363,U+1F46F U+200D U+2642 U+FE0F,,men with bunny ears,bunny ear | dancer | men | men with bunny ears | partying
364,U+1F46F U+200D U+2640 U+FE0F,,women with bunny ears,bunny ear | dancer | partying | women | women with bunny ears
365,U+1F9D6,,person in steamy room,person in steamy room | sauna | steam room | hamam | steambath
366,U+1F9D6 U+200D U+2642 U+FE0F,,man in steamy room,man in steamy room | sauna | steam room
367,U+1F9D6 U+200D U+2640 U+FE0F,,woman in steamy room,sauna | steam room | woman in steamy room
368,U+1F9D7,,person climbing,climber | person climbing
369,U+1F9D7 U+200D U+2642 U+FE0F,,man climbing,climber | man climbing
370,U+1F9D7 U+200D U+2640 U+FE0F,,woman climbing,climber | woman climbing
371,U+1F93A,,person fencing,fencer | fencing | person fencing | sword
372,U+1F3C7,,horse racing,horse | jockey | racehorse | racing
373,U+26F7,,skier,ski | skier | snow
374,U+1F3C2,,snowboarder,ski | snow | snowboard | snowboarder
375,U+1F3CC,,person golfing,ball | golf | person golfing
376,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,,man golfing,golf | man | man golfing
377,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,,woman golfing,golf | woman | woman golfing
378,U+1F3C4,,person surfing,person surfing | surfing
379,U+1F3C4 U+200D U+2642 U+FE0F,,man surfing,man | surfing
380,U+1F3C4 U+200D U+2640 U+FE0F,,woman surfing,surfing | woman
381,U+1F6A3,,person rowing boat,boat | person rowing boat | rowboat
382,U+1F6A3 U+200D U+2642 U+FE0F,,man rowing boat,boat | man | man rowing boat | rowboat
383,U+1F6A3 U+200D U+2640 U+FE0F,,woman rowing boat,boat | rowboat | woman | woman rowing boat
384,U+1F3CA,,person swimming,person swimming | swim
385,U+1F3CA U+200D U+2642 U+FE0F,,man swimming,man | man swimming | swim
386,U+1F3CA U+200D U+2640 U+FE0F,,woman swimming,swim | woman | woman swimming
387,U+26F9,,person bouncing ball,ball | person bouncing ball
388,U+26F9 U+FE0F U+200D U+2642 U+FE0F,,man bouncing ball,ball | man | man bouncing ball
389,U+26F9 U+FE0F U+200D U+2640 U+FE0F,,woman bouncing ball,ball | woman | woman bouncing ball
390,U+1F3CB,,person lifting weights,lifter | person lifting weights | weight
