Number,Code,Sample,CLDR Short Name,Keywords
1401,U+1F201,,"Japanese ""here"" button","""here"" | Japanese | Japanese ""here"" button | katakana | ココ"
1402,U+1F202,,"Japanese ""service charge"" button","""service charge"" | Japanese | Japanese ""service charge"" button | katakana | サ"
1403,U+1F237,,"Japanese ""monthly amount"" button","""monthly amount"" | ideograph | Japanese | Japanese ""monthly amount"" button | 月"
1404,U+1F236,,"Japanese ""not free of charge"" button","""not free of charge"" | ideograph | Japanese | Japanese ""not free of charge"" button | 有"
1405,U+1F22F,,"Japanese ""reserved"" button","""reserved"" | ideograph | Japanese | Japanese ""reserved"" button | 指"
1406,U+1F250,,"Japanese ""bargain"" button","""bargain"" | ideograph | Japanese | Japanese ""bargain"" button | 得"
1407,U+1F239,,"Japanese ""discount"" button","""discount"" | ideograph | Japanese | Japanese ""discount"" button | 割"
1408,U+1F21A,,"Japanese ""free of charge"" button","""free of charge"" | ideograph | Japanese | Japanese ""free of charge"" button | 無"
1409,U+1F232,,"Japanese ""prohibited"" button","""prohibited"" | ideograph | Japanese | Japanese ""prohibited"" button | 禁"
1410,U+1F251,,"Japanese ""acceptable"" button","""acceptable"" | ideograph | Japanese | Japanese ""acceptable"" button | 可"
1411,U+1F238,,"Japanese ""application"" button","""application"" | ideograph | Japanese | Japanese ""application"" button | 申"
1412,U+1F234,,"Japanese ""passing grade"" button","""passing grade"" | ideograph | Japanese | Japanese ""passing grade"" button | 合"
1413,U+1F233,,"Japanese ""vacancy"" button","""vacancy"" | ideograph | Japanese | Japanese ""vacancy"" button | 空"
1414,U+3297,,"Japanese ""congratulations"" button","""congratulations"" | ideograph | Japanese | Japanese ""congratulations"" button | 祝"
1415,U+3299,,"Japanese ""secret"" button","""secret"" | ideograph | Japanese | Japanese ""secret"" button | 秘"
1416,U+1F23A,,"Japanese ""open for business"" button","""open for business"" | ideograph | Japanese | Japanese ""open for business"" button | 営"
1417,U+1F235,,"Japanese ""no vacancy"" button","""no vacancy"" | ideograph | Japanese | Japanese ""no vacancy"" button | 満"
1418,U+1F534,,red circle,circle | geometric | red
1419,U+1F7E0,,⊛ orange circle,circle | orange
1420,U+1F7E1,,⊛ yellow circle,circle | yellow
1421,U+1F7E2,,⊛ green circle,circle | green
1422,U+1F535,,blue circle,blue | circle | geometric
1423,U+1F7E3,,⊛ purple circle,circle | purple
1424,U+1F7E4,,⊛ brown circle,brown | circle
1425,U+26AB,,black circle,black circle | circle | geometric
1426,U+26AA,,white circle,circle | geometric | white circle
1427,U+1F7E5,,⊛ red square,red | square
1428,U+1F7E7,,⊛ orange square,orange | square
1429,U+1F7E8,,⊛ yellow square,square | yellow
1430,U+1F7E9,,⊛ green square,green | square
1431,U+1F7E6,,⊛ blue square,blue | square
1432,U+1F7EA,,⊛ purple square,purple | square
1433,U+1F7EB,,⊛ brown square,brown | square
1434,U+2B1B,,black large square,black large square | geometric | square
